date_only;time_label;count_intervention;
17/10/2021;20:45;0;
17/10/2021;21:00;0;
17/10/2021;21:15;0;
17/10/2021;21:30;0;
17/10/2021;21:45;0;
17/10/2021;22:00;0;
17/10/2021;22:15;0;
17/10/2021;22:30;0;
17/10/2021;22:45;0;
17/10/2021;23:00;0;
17/10/2021;23:15;0;
17/10/2021;23:30;0;
17/10/2021;23:45;0;
03/04/2022;00:00;0;
03/04/2022;00:15;0;
03/04/2022;00:30;0;
03/04/2022;00:45;0;
03/04/2022;01:00;0;
03/04/2022;01:15;0;
03/04/2022;01:30;0;
03/04/2022;01:45;0;
03/04/2022;02:00;0;
03/04/2022;02:15;0;
03/04/2022;02:30;0;
03/04/2022;02:45;0;
03/04/2022;03:00;0;
03/04/2022;03:15;0;
03/04/2022;03:30;0;
03/04/2022;03:45;0;
03/04/2022;04:00;0;
03/04/2022;04:15;0;
03/04/2022;04:30;0;
03/04/2022;04:45;0;
03/04/2022;05:00;0;
03/04/2022;05:15;0;
03/04/2022;05:30;0;
03/04/2022;05:45;0;
03/04/2022;06:00;0;
03/04/2022;06:15;0;
03/04/2022;06:30;0;
03/04/2022;06:45;0;
03/04/2022;07:00;0;
03/04/2022;07:15;0;
03/04/2022;07:30;0;
03/04/2022;07:45;0;
03/04/2022;08:00;0;
03/04/2022;08:15;0;
03/04/2022;08:30;1;
03/04/2022;08:45;1;
03/04/2022;09:00;0;
03/04/2022;09:15;3;
03/04/2022;09:30;1;
03/04/2022;09:45;0;
03/04/2022;10:00;2;
03/04/2022;10:15;0;
03/04/2022;10:30;1;
03/04/2022;10:45;1;
03/04/2022;11:00;4;
03/04/2022;11:15;2;
03/04/2022;11:30;2;
03/04/2022;11:45;1;
03/04/2022;12:00;3;
03/04/2022;12:15;6;
03/04/2022;12:30;3;
03/04/2022;12:45;6;
03/04/2022;13:00;4;
03/04/2022;13:15;5;
03/04/2022;13:30;4;
03/04/2022;13:45;3;
03/04/2022;14:00;3;
03/04/2022;14:15;6;
03/04/2022;14:30;7;
03/04/2022;14:45;3;
03/04/2022;15:00;1;
03/04/2022;15:15;5;
03/04/2022;15:30;3;
03/04/2022;15:45;3;
03/04/2022;16:00;1;
03/04/2022;16:15;3;
03/04/2022;16:30;0;
03/04/2022;16:45;1;
03/04/2022;17:00;2;
03/04/2022;17:15;1;
03/04/2022;17:30;0;
03/04/2022;17:45;0;
03/04/2022;18:00;1;
03/04/2022;18:15;0;
03/04/2022;18:30;0;
03/04/2022;18:45;0;
03/04/2022;19:00;0;
03/04/2022;19:15;0;
03/04/2022;19:30;0;
03/04/2022;19:45;0;
03/04/2022;20:00;0;
03/04/2022;20:15;0;
03/04/2022;20:30;0;
03/04/2022;20:45;0;
03/04/2022;21:00;0;
03/04/2022;21:15;0;
03/04/2022;21:30;0;
03/04/2022;21:45;0;
03/04/2022;22:00;0;
03/04/2022;22:15;0;
03/04/2022;22:30;0;
03/04/2022;22:45;0;
03/04/2022;23:00;0;
03/04/2022;23:15;0;
